Votes,Answers,Views,Question,Summary,Tags,User
0,0,10,Videos using the YouTube IFrame API are not loading in a WebView in Xamarin.Android,"I have written this code that works perfectly well in my browser: <!DOCTYPE html> <html style=""height: 100%; width: 100%; margin: 0px""> <head> <meta charset=""utf-8"" /> ...",javascript android xamarin.android android-webview youtube-iframe-api,"['Federico Navarrete', '2,24144 gold badges3232 silver badges5353 bronze badges']"
0,0,14,Array in javascript within object not showing integers correctly [duplicate],"var x = 0; var o = 0; var num = [] I have an object and within the object an array: var win = { winset: [012,345,678,036,147,258], checkwinSet: function(num) { this.winset.forEach(set => { ...",javascript arrays for-loop foreach javascript-objects,"['LOGIC123', '333 bronze badges']"
0,0,17,Why does this parseInt return NaN? [duplicate],"> ""1.1.0"".split(""."").map(parseInt) (3) [1, NaN, 0] > ""1.1.0"".split(""."").map(parseFloat) (3) [1, 1, 0] Happens in both browser and NodeJS. Can anyone ...",javascript node.js,"['wuxiekeji', '1,43622 gold badges1212 silver badges1818 bronze badges']"
"1
vote",0,12,"D3 Collide, Charge & Force X or Y contradict one another?",Does anyone have any advice on how I can implement gravity to the center where the biggest nodes go to the middle and smaller nodes are on the outside? Collide does not seem to work at all and nodes ...,javascript d3.js,"['WallStreetBets', '2111 bronze badge']"
0,0,9,message: “Cannot start a foreground Service: user denied FOREGROUND permissions.” __proto__: Object,I am using the plugin https://github.com/seididieci/capacitor-backround-geolocation for my app background location tracking. Here is method in plugin goForeGround() which is suppose to work when ...,javascript android android-studio ionic-framework foreground-service,"['web pakistan', '15566 bronze badges']"
0,1answer,27,Trying to understand Callback function,"I'm creating a simple callback function trying to understand how it works. function cbFunction(x, y, z) { return x + y + z } function caller(x, y, z, cbFunction) { console.log('In caller function!...",javascript callback,"['Ycfan23', '2333 bronze badges']"
0,0,15,three.js uv maps with fabric.js,"this is my first time using three.js or 3d modeling, so forgive me if what i am about to ask sounds stupid or too obvious so i have a 3d model t-shirt with the uv map like this and then i have ...",javascript three.js 3d blender,"['Nanu', '1344 bronze badges']"
0,0,12,AngularJS - DOM element attribute value update from controller or directive,"I need to modify the attribute of a multi select drop down after i uncheck all the checked items. The drop down is as follows: <multiselect class=""input-xlarge"" ...",javascript angularjs,"['Kalyan', '9911 silver badge1010 bronze badges']"
-2,0,13,adding numbers from Array in a function [closed],"const campgrounds = [ { number: 1, view: ""ocean"", partySize: 8, isReserved: false }, { number: 5, view: ""ocean"", partySize: 4, isReserved: false }, { number: 12, view: ""...",javascript arrays function addition,"['Mercedes Sky', '1']"
0,0,11,Scripting in Adobe primer pro how to apply a self made preset effect?,I wanted to add preset effect directly to a clip in my timeline using the function getVideoEffectByName(); But it didn't work and it gave me a False result . But when I used the already made effect &...,javascript effect adobe-premiere preset,"['FIRE', '133 bronze badges']"
0,2,40,"Search function: how to show the tables again, after deleting the search?","I have an search function which does sometimes work (and sometimes not haha). When I search for a fruit or a vegetable, which does exist in one of the tables it kinda works. If I delete the search ...",javascript html jquery,"['Pfannkuchen', '1733 bronze badges']"
"1
vote",0,15,Performance Impacts of Declaring a Variable With “let” Inside a Loop - Javascript,"I'm having trouble finding information on the performance impacts of declaring a variable with ""let"" inside of a loop in Javascript. I've found a lot of information about the scope of said ...",javascript performance,"['jk242903', '1111 bronze badge']"
-1,0,11,Bootstrap javascript not working Symfony 5.3 + Encore,I've added bootstrap to my Symfony 5.3 setup by following this guide: https://symfony.com/doc/current/frontend/encore/bootstrap.html This is how my app.js looks: import './styles/app.scss'; const $ = ...,javascript jquery symfony bootstrap-4 webpack-encore,"['Faiawuks', '7988 bronze badges']"
0,0,31,Struggling with Css style,I am creating a react chat application and my 90% work has completed but i am struggling with CSS for better UI experience. I am Struggling with 2 issues: The sender and receiver are at one side only ...,javascript css reactjs web,"['Sukarna Jana', '1355 bronze badges']"
0,0,14,create favorite button with node js and vue,"I'm creating a button to favorite the recipe and save it to the favorites page, when the user clicks the button the user id and recipe id are sent to the like table in the postgres database that I'm ...",javascript node.js vue.js axios,"['Guilherme Augusto', '1111 bronze badge']"
0,0,4,Not able to use the mongoose schema on client-side after using browserify,I am trying to use Browserify to import my mongoose schemas into a js file i plan to use on client side. Here are two Schemas : answer.js const mongoose = require('mongoose'); const Schema = mongoose....,javascript mongoose browserify,"['xentro-sam', '1']"
2,0,15,firebase react native throws [ReferenceError: Property 'Proxy' doesn't exist] when I try to push on reatlitme database,I'm trying to push data using react and firebase realtime database. My setup works fine for reading and updating data but it fails when I try to push. This is the relevant section of code that fails ...,javascript react-native firebase-realtime-database react-native-firebase,"['Bogdan Oloeriu', '9511 silver badge77 bronze badges']"
0,1answer,17,"I'm sending a function as a parameter, but it throws an error","Could anybody tell me why it says that myFunc is not a function? import React, { useRef, useState } from ""react""; function useStateAsync (value, isProp = false) { const ref = useRef(value)...",javascript callback setinterval,"['Rafael', '1,33533 gold badges1919 silver badges3737 bronze badges']"
0,0,20,Vue2 + Airtable - How can I sort a v-for loop so its not in a random order?,I have a problem I can’t seem to solve with Airtable and Vue2 CLI and wondered if anyone could help? I have set up a base and am using a Vue for loop to iterate through a list of objects. Although my ...,javascript vue.js vuejs2 vue-cli airtable,"['Al-76', '1,14633 gold badges1414 silver badges2828 bronze badges']"
0,0,18,Multiple API Request in getInitialProps and getServerSideProps slow Down the performance - Next.js,Please help to fix this issue I am building a dynamic website for displaying live match scores and stats everything is fine. Before deploying on the server we test the performance and stress test on ...,javascript reactjs next.js server-side-rendering,"['MDF', '1,28311 gold badge1111 silver badges1313 bronze badges']"
0,1answer,19,How to save user details and quiz results to local storage,"The quiz site I am creating has a login page and I successfully saved the users email and username to local storage with: <form action=""home.html"" class=""login-container""> ...",javascript html local-storage,"['Daryl Howai', '2733 bronze badges']"
0,1answer,20,Firestore does not return result in this set operation,"Reading the docs but still can't get this to work. In the code the docRef is undefined even the set operation is successful. Why is that, I was expecting the docRef to be the value I just set. /** * ...",javascript google-cloud-firestore set,"['Kid', '1,06944 silver badges1919 bronze badges']"
-2,0,15,Use a nice bootstrap date time picker in my page [closed],I can't use the date time picker in this video in a web forms application but I doesn't work. I don't know if there is something I do wrong. https://www.youtube.com/watch?v=ub-vK97VOhE I don't know ...,javascript html css bootstrap-4 bootstrap-datetimepicker,"['Ahmed Waguih', '111 bronze badge']"
0,0,17,ReactJS - JSS - createUseStyles - how to generate inline style,I am using ReactJS/NextJS and import { createUseStyles } from 'react-jss' to generate CSS-in-JS. Is there a way to use react-jss to generate inline CSS? I would like to add const styles = .... ... &...,javascript css reactjs next.js,"['Wonay', '89199 silver badges2323 bronze badges']"
-1,1answer,34,How to use the same function for different buttons to display their own dropdown lists,"I am going to have multiple dropdown buttons to show their own dropdown lists. In HTML, the dropdown lists are the sibling elements of buttons. When I use the querySelector and click whichever button, ...",javascript html,"['eren', '2544 bronze badges']"
"1
vote",1answer,32,Flask - Calling python function which takes input parameters on button OnClick event,"I have a Flask web app with a download button. When I click on the button I would like to execute a python method, not a javascript method. This python method should take as input some recently ...",javascript python html ajax flask,"['G. Macia', '55055 silver badges2222 bronze badges']"
0,0,15,How to get half a millisecond vibration on ios in react native with expo?,How to get half a millisecond vibration on ios in react native with expo? Similar to the vibration you get when typing on a keypad of a phone. I seem to get it on android with this Vibration.vibrate([...,javascript react-native expo vibration,"['manny', '1071010 bronze badges']"
0,0,11,How does the cursor inside if statment can loop using IDBCursor.continue() in JavaScript?,"Using the example from the documentation (https://developer.mozilla.org/en-US/docs/Web/API/IDBCursor/continue): function displayData() { var transaction = db.transaction(['rushAlbumList'], ""...",javascript cursor indexeddb,"['Zarchy', '111 bronze badge']"
0,1answer,10,Full Calender V.5 Width not Autoadjusting when sidebar is toggle is used,"When the the sidebars toggle is used .main div's width get expanded, but a gap is occurred on right side of calendar. View Example in fullscreen document.addEventListener('DOMContentLoaded', ...",javascript jquery fullcalendar fullcalendar-5,"['Amal nandan', '344 bronze badges']"
0,0,11,React Native inconsistent rendering?,"I'm writing an application in React Native and testing it out on an iOS simulator. For some reason, the rendering behavior is inconsistent when refreshing via Metro (see the below screenshots). Is ...",javascript ios reactjs react-native,"['Kenny Worden', '3,75499 gold badges3131 silver badges5959 bronze badges']"
0,0,14,How can i pass a Django form to Html Asynchronously with intial data,"I am representing data in a table and taking input for new data using a form on the same webpage. In my table at the end column, there is an update button for each row. When I will click the button, ...",javascript jquery json django ajax,"['Rubel', '38433 silver badges1010 bronze badges']"
-2,0,23,Why JSON file doesn't get updated? [closed],"I'm creating a Blog site and I want to set this: user will enter title and content into inputs, and when clicked to button, it will saved into JSON file. Here my code: <!-- write.html --> <!...",javascript html json fetch,"['Atmospherium', '111 bronze badge']"
0,0,29,JavaScript Data validation design pattern - Calling library function without 'this' keyword,I'm writing a JavaScript library that would validate the data stored in flat file. It will take list of tests (reusable JavaScript code stored as text in database) and records of the datafile as array....,javascript function design-patterns functional-programming tensorflow-data-validation,"['Rahul Joshi', '111 bronze badge']"
0,0,44,Get the value of the first cell in table (ID NUMBER) one time per click,"Hello i have this table <script type=""text/javascript""> function rldashboard () { document.getElementById('livetableops').innerHTML = """"; $(document).ready(function(){ $....",javascript php jquery html-table,"['Rafuch0', '111 bronze badge']"
0,0,11,Reach-Router not providing state to Link,"I'm trying to render a blog as a card then open it up as a page , but its proving to be difficult using Gatsby. I did the exact same thing fine with react using React router but it doesn't seem to be ...",javascript reactjs gatsby contentful,"['Shuib Abdillahi', '3544 bronze badges']"
0,0,15,Error: read ECONNRESET Request Body txt: undefined when uploading a json file via POSTMAN,"I am trying to upload a JSON file to read data from and then save it in my MongoDB database, I am using multer to do so, but Postman returns the following error Error: read ECONNRESET and it says ...",javascript node.js mongodb express postman,"['Max', '32222 silver badges1313 bronze badges']"
-2,0,15,How to create the library that validates the military time [closed],"""timeBlocks"": [ { ""maximumValue"": 482, ""minimumValue"": 1 } ] The value for ...",javascript,"['Mgt', '1']"
0,1answer,18,Can't import function from tsx file,"I'm using react+typescript+webpack. I'm trying to import the function drawOnCanvasHelper contained in the package react-financial-charts, which I've correctly npm installed. The function is exported ...",javascript reactjs typescript webpack import,"['Jase', '85711 gold badge77 silver badges2525 bronze badges']"
