Votes,Answers,Views,Question,Summary,Tags,User
-3,0,17,"is there a software that copy and reload client source files to external server, automatically, after save editing [closed]","i deployed a web application on the application server (web), i need to edit some js and css and then: edit my js or css files with my favorite editor I explode the war file in a directory copy js / ...",javascript css visual-studio-code jboss frontend,"['robyp7', '41322 gold badges66 silver badges2121 bronze badges']"
"1
vote",1answer,33,How to fetch messages until a specific date?,How would one fetch messages from text channel beginning with the latest/newest message until a specific date. For example until the date two days ago. The desired result is having a function that ...,javascript discord.js,"['Skulaurun Mrusal', '15922 silver badges1515 bronze badges']"
0,0,7,Html2canvas base 64 graph background black,"I tried to convert graph in base 64 with html2canvas. My code component.html. <div *ngIf=""sem_chart"" style=""max-width: 100vw; padding-bottom: 20px; margin-bottom: 50px; background: ...",javascript angular html2canvas pdfmake,"['Juna', '111 bronze badge']"
-4,0,42,Hiding a div based on total price on product page [closed],"On our product page, we have a number of add-on items and product bundles available. I have a div called .finance, which is positioned underneath our add to cart button, and I'd like it to not display ...",javascript jquery woocommerce,"['David Cooper', '344 bronze badges']"
-2,0,18,Invalid useAuthState() hook call,"I am creating a social media app that have a user object. So, I defined my firebase config and initialized it. I want to create dashboard component but there is an error called Invalid hook call. ...",javascript reactjs firebase mern,"['Hénry', '111 bronze badge']"
-2,0,18,Piece of advice about how to create this type of carousel [closed],I'm trying to create the carousel that appears at www.gog.com . I have tried to think a bit about how should I did something like this: Have a div containing all the slides with a position:relative ...,javascript html css reactjs carousel,"['Notbad', '4,80066 gold badges3838 silver badges7979 bronze badges']"
-3,1answer,27,How can I set a timeout for my loading webpage?,"I have a problem with my loading webpage. I want to hide this loading page after 5 seconds, but I'm confused. That's my code: And I must say I'm Beginner. setTimeout(function(){ jQuery('....",javascript html jquery css loading,"['Ali Zerehsaz', '1']"
"1
vote",0,15,Js Button Click Alternative,"I'm building a bot with javascript. I follow my accounts on a platform. I follow by clicking, but the platform understands this and deletes the follower. I'm looking for an alternative way to button ...",javascript buttonclick alt,"['Sevcan Gürbüz', '2144 bronze badges']"
0,1answer,18,How to avoid node:12044 Error : data and salt arguments required?,I tried out few tricks to avoid this error but without luck- (node:12044) UnhandledPromiseRejectionWarning: Error: data and salt arguments required at hash (D:\Coding_Challenge\Challenge-solution\...,javascript mysql node.js,"['Jeet', '8311 silver badge1010 bronze badges']"
0,1answer,23,ReactJS Can't move footer to the bottom in Sidebar with justify content space-between,Trying to move to the bottom of the but Footer stick to the top try to add justify-content: space-between / align-self: flex-end and it isn't working What I expected What I get Trying to inspect ...,javascript reactjs,"['Yo Udomkarn', '3344 bronze badges']"
"1
vote",0,11,How do I hide a tag after selecting it in TiddlyWiki?,"To prevent unnecessary tags from interfering on the screen, I want to hide them from the TagPickerTagTemplate selection list. This can be done? example Or at least hide tags after clicking? Something ...",javascript css tiddlywiki tiddlywiki5,"['mike2003', '1122 bronze badges']"
0,0,10,How to pass a param and get that param with a nested Stack Navigator (make tabbar dissapear on scrolling),Maybe you can help me... I'm trying to make my tabbar dissapear on scrolling. For this I have a onScroll method that tells if I'm going down or up. const offset = useRef(0); const onScroll = (event) =&...,javascript react-native react-native-navigation,"['Saiykoh', '1']"
0,1answer,26,Import image to a component from React project,I'm building an app with React and Typescript. I'm retrieving data using a free API. I'm trying to use a default image for the objects that do not have them. This is the structure of my project: In ...,javascript reactjs typescript api asynchronous,"['grubbyGerbil', '2944 bronze badges']"
"1
vote",0,18,Array buffer allocation failed JS,I have encountered a strange error during building my nextJs project Here is the error details This error happened when I navigate between pages. Any Idea to solve this strange error ? NOTE My Laptop ...,javascript node.js reactjs next.js,"['Aziz', '3755 bronze badges']"
"1
vote",1answer,36,Populate a div with ajax response from server,"I am trying to populate five div's with the content of an Ajax response. Some far I have tried the following: On the line marked ""POPULATION LINE"" I have tried just on the first div, if I ...",javascript php jquery json,"['DCJones', '2,22344 gold badges2222 silver badges4040 bronze badges']"
-1,3,34,How can I create a struct in JavaScript and sort it afterwards?,"In C#, I create a struct and I use LINQ to sort MyList. public struct MyContainer { public string Name; public string Firstname; public int Firstscore; public int Secondscore; public ...",javascript c#,"['Bill_Johnson77', '2133 bronze badges']"
0,1answer,45,Filter an array from another array of elements and return specific positions,"I'm finally learning better methods for my JS. I'm trying to find a way to go faster than I do so far : In my code, I have two arrays : one with unique keys in first position one with those keys in ...",javascript arrays google-apps-script google-sheets,"['Cedric', '122 bronze badges']"
"1
vote",1answer,28,"npm run build does not work while npm run dev does , NuxtJS",I'm trying to export the dist folder from a nuxtJs project i'v been working on . everything works fine when i run the project on my local machine with the command npm run dev but when i try to run npm ...,javascript vue.js nuxt.js,"['Adnane Kadri', '1133 bronze badges']"
0,0,11,How do I allow user setup a custom domain while hosted on my server?,"Currently, I am building a simple MVP app, on Firebase with Next.js frontend. For example. let's say my domain is yourfavouriteblog.com. I want to provide 2 tiers of service where one is I will add a ...",javascript firebase next.js hosting vercel,"['Wei Chun', '3133 bronze badges']"
