Votes,Answers,Views,Question,Summary,Tags,User
0,1answer,12,Disable maximizing in electron,So I have an electron app. I have set maxWidths and maxHeights but how do I disable maximizing. I have already made custom buttons for ms-windows but i don't want to remove the traffic lights on mac. ...,javascript node.js electron,"['Isaac', '111 silver badge']"
0,0,15,Adjust d3 tree layout zoom effect and also how to move to certain position on the tree,"After I applied zoom effect on tree layout I found that the zoom in, always start from the center not from the position the mouse stop and also on mobile devices not from the position my finger touch ...",javascript reactjs d3.js,"['Ahmed Abdelrahman', '3544 bronze badges']"
-11,2,49,Javascript indexOf not working with some value with text and number inside [duplicate],"I have these below javascript with indexOf function. var arr = ['E8DB84DCA22F','C44F337FB12D','123456789ABC']; var str = 'E8DB84DCA22F'; console.log(arr.indexOf(str)); When I tried to print the ...",javascript,"['HiDayurie Dave', '1,57911 gold badge1515 silver badges3131 bronze badges']"
0,1answer,38,Return Exact Same Image Coordinates in JavaScript After Screen Resize,"I want to retrieve the exact coordinates on a png of a football field. I'm able to get some coordinates using offsetLeft and offsetTop, but unfortunately these begin to vary once the image is resized, ...",javascript reactjs image coordinates react-bootstrap,"['clattenburg cake', '74122 gold badges1010 silver badges2020 bronze badges']"
0,0,27,How to sort table in ascending and descending order using vanillaJS?,I am getting data from rest-countries api. How to Allow table to sort by every column (except flag) with ascending / descending order (Using vanillaJS)? I am new to programming and If the question is ...,javascript,"['bigBadWolf', '1944 bronze badges']"
-4,0,25,Go to instagram page,"Hello friends I have a text input and a link In this input, we have to enter the Instagram id And click on the link to go to the desired page How do I do this with JavaScript? <div class=""...",javascript html input,"['Mohsen Mozzafari', '122 bronze badges']"
-1,0,13,How can I give reference of my images in the media/images folder in a JS file,I came across this JS code that is used in a program to display images in a grid format. But here the reference images are taken from the external source - Unsplash as backgrounds for the divs. I want ...,javascript image reference display,"['Rocky_GIT', '1133 bronze badges']"
0,1answer,33,Javascript iterating through JSON file,"{ ""comments"": [ { ""created_utc"": 1622513325, ""text"": ""gdhg sgf sddsfsd fdsf"" }, { ""created_utc"": 1622513188, &...",javascript json,"['WallStreetBets', '2111 bronze badge']"
-2,0,20,how to access “#document” with js? [duplicate],"look the below image :- As in the image there is a ""#document"" how can I access that using JS ?",javascript html css,"['Goldblow', '111 bronze badge']"
-3,0,19,Javascript push() method is not recognizable [duplicate],"Its not duplcate uestion please answer it. Urgent var friendstatus = []; User.findOne({ name: req.user.displayName }, function(err, n) { if (err) { ...",javascript node.js express,"['Yash Singhal', '733 bronze badges']"
0,0,7,strapi slug Hebrew character support,I am having an issue finding any documentation regarding allowing the strapi slug filter manipulation I would like to allow it to whitelist Hebrew characters. at current state when trying to change ...,javascript node.js strapi,"['Vad.Gut', '50311 gold badge55 silver badges1818 bronze badges']"
0,2,38,Is there a way to use the everyone role in discord.js,I'm trying to make my lock and mute command work with a per server settings command I recently made with mongodb. I want it to be where it gets the member role from the database (roles.cache.get(...,javascript node.js mongodb discord.js,"['FaderR', '333 bronze badges']"
0,2,32,Nodejs + mySQL data does not get sent to my database,I am trying to create a register and login page where the registered user's details are setn to the database and then from there they are used to verify login. The sign up button is supposed to send ...,javascript mysql node.js reactjs express,"['Chirag Maurya', '311 bronze badge']"
0,0,22,JS code don't work on Chrome or Opera in a Wordpress website,"I have this JS code in a WordPress website, and it works only on Firefox but not on other browsers. This code should sort elements of each container(each container called Type) A-Z. I tried to write ...",javascript wordpress google-chrome firefox,"['Badr', '1']"
-1,2,38,Why am I getting “TypeError: x.map is not a function” in React?,"I am trying to pass a json object as a prop to a child component and then parse it using map(), but I'm getting the error ""TypeError: x.map is not a function"". But this error occurs only in ...",javascript reactjs,"['Adriano Lazzaretti', '733 bronze badges']"
0,0,11,Trying to load multiple modules as middleware inside vue router wont work,"Inside the vue router in my SPA I wanted to make it possible to load multiple modules if needed, at the moment it will load just 1 module. I wanted to seperate code rather than dumping all in 1 file ...",javascript vue.js vue-router,"['user759235', '1,76033 gold badges3030 silver badges5656 bronze badges']"
0,1answer,30,Dynamically Javascript to increase the value of checkbox,"I'm having trouble increasing the value of the checkbox automatically which is sitting inside a table. So, in short, In my HTML table, I have text boxes and a checkbox present as a row(default 5 rows ...",javascript,"['change198', '85788 silver badges2323 bronze badges']"
0,0,17,Unable to update JS local variables in Sources window in Chrome,Why do the local vars in Chrome's Sources tab have different names to what is in the JS code? The local n is the threadID var in the JS code: The trimmed down version of the code looks like this: (...,javascript angularjs google-chrome,"['David Klempfner', '6,7911515 gold badges4747 silver badges104104 bronze badges']"
0,2,29,How to output prettified raw HTML code inside an Editable DIV,"I have been trying to output raw HTML inside an editable DIV, but the <div> gets commented out. This is what I am trying to output (Including the ``) : \`<div class=""flexContainer""&...",javascript html pretty-print,"['Program-Me-Rev', '5,3781111 gold badges4848 silver badges110110 bronze badges']"
0,1answer,11,JavaScript code for window.speechSynthesis not working from localhost,"Following code works fine in Chrome DevTools but when I run this through localhost allVoices returns an empty array. tts = window.speechSynthesis // from here code only works if put into DevTools, ...",javascript google-chrome-devtools text-to-speech,"['ShivCK', '46944 silver badges1313 bronze badges']"
-4,0,18,Whats advantages to Node on the Server? [closed],So say I have gulp and moment.js... In my react folder I can run npm start npm build then deploy /build to server... and things will run. What are the benefits?,javascript npm server server-side-rendering,"['Malik Dunston', '133 bronze badges']"
0,0,18,Google chart misbehaving when interacting with java code in jsp file,I'm facing some issues with putting my data instead of the preloaded data in google charts. My google charts (and the java code referring to a java class) are in a jsp file just like this <%@ page ...,javascript java jquery jsp google-app-engine,"['Ale99', '933 bronze badges']"
-3,0,17,im using Symfony and javascript is not loading in my website?,Im beginner so excuse my skills. Im building website using html css javascript twig When i load my website everything works fine except javascript does not load. I used this script lo link it <...,javascript,"['kRYSTAL 98', '111 bronze badge']"
0,3,27,Error: Uncaught [TypeError: Cannot read property 'x' of undefined Jest react testing,"I'm new to react and testing so maybe I'm misunderstanding the docs but I have a function that defines a const variable which is just an array of objects that has a property 'X', we'll call it. I ...",javascript reactjs ts-jest,"['CEO of Pizza', '322 bronze badges']"
0,1answer,26,path.join() adding tabs and newlines (node.js),"Here, filePath is not showing the correct output, it is performing the path joining correctly but adding unnecessary tabs and newlines. let folderPath = path.join(__dirname, topicName); console.log(...",javascript node.js,"['Nishant Bharwani', '511 bronze badge']"
0,0,31,Access to Myclass methods of a Type<MyClass> Object [closed],"To follow the angular tutorial « dynamic component », i had to use an object of type Type (see https://stackblitz.com/angular/mkajnaabomx?file=src%2Fapp%2Fad-item.ts). Now I need to access to this ...",javascript node.js angular typescript,"['Auloma', '1722 bronze badges']"
0,0,9,Convert wmf to png using javascript,"Currently I am doing a project to convert docx files to html, everything is fine but mathtype is not able to convert, is there any way to convert mathtypes in docx files to png files using javascript? ...",javascript node.js image png wmf,"['guest', '1']"
0,0,14,What is wrong with this Lighthouse audit? Can I install a PWA from http://localhost,"I have a PWA that passes the Lighthouse audit on Chrome for an installable PWA but I never get prompted to install it and the ""beforeinstallprompt"" event never fires. I am developing/...",javascript mobile progressive-web-apps lighthouse,"['McMurphy', '1,16911 gold badge99 silver badges3131 bronze badges']"
