Votes,Answers,Views,Question,Summary,Tags,User
-2,0,16,I need to deploy a angular app in a namecheap hosting but I don't know [closed],How can I make a deployment of an angular application in a namecheap hosting from cpanel,javascript angular deployment web-deployment namecheap,"['David Angarita', '733 bronze badges']"
0,0,18,node.js oauth-1.0a working for Twitter API v1.1 but not for v2,"I'm found this function to generate oauth-1.0a header: // auth.js const crypto = require(""crypto""); const OAuth1a = require(""oauth-1.0a""); function auth(request) { const oauth =...",javascript node.js twitter twitter-oauth oauth-1.0a,"['MauricioRobayo', '1,7311717 silver badges2121 bronze badges']"
0,0,15,Routing not working using Gatsby - reach-router,"I'm trying to render a blog as a card then open it up as a page , but its proving to be difficult using Gatsby. I did the exact same thing fine with react using React router but it doesn't seem to be ...",javascript reactjs gatsby contentful contentful-api,"['Shuib Abdillahi', '3544 bronze badges']"
-4,0,27,how to run python import on node js?,"Error: ModuleNotFoundError: No module named 'Adafruit_AMG88xx'!! This code is to connect node js to raspberry pi I want to run python file on js file This is ""raspberry_nodejsServer.js"" var ...",javascript python mysql import raspberry-pi,"['pjy0619', '1']"
-2,1answer,25,why adding items to array trough JQuery is different than adding it manually?,"this code is kinda working but I'm getting different output , like if I add items to array manually like let thearray = [""Hello"",""World]; it will show this on console log : (2) [""...",javascript html jquery,"['filpthetablescrewyouall', '1544 bronze badges']"
0,0,10,Forcing a new paragraph element on new line with Markedjs,"I'm using markedjs and I don't really quite understand how to use the advanced configurations. I have a textarea where users can input text, and I want each new line to force a new p element (assuming ...",javascript html format markdown javascript-marked,"['supafiya', '9511 silver badge88 bronze badges']"
0,1answer,13,How can I use regular expressions to add an onclick event to words of a text in React?,"I'm trying to use regular expressions to add an onclick event to all the words of a text in React. I have tried to do it in two different ways so far, but none of them worked. First I tried: return( ...",javascript reactjs,"['Adriano Lazzaretti', '733 bronze badges']"
0,1answer,19,Why Vue <select v-model=“number | string” > both work?,"Please see this minimum example new Vue({ el: '#app', data() { return { valueIsString: '1', valueIsNumber: 1, } }, template: ` <div> <select v-model=""...",javascript vue.js vuejs2 vue-component,"['Joseph Wang', '2,07399 silver badges3737 bronze badges']"
-3,0,11,ReactJS - library to detect crawler and bots [closed],I would like a library I can use in a react component ( I also use Next) which would detect if the current user is a crawler/bot. I would like something like this for instance: export default function ...,javascript reactjs next.js,"['Wonay', '89199 silver badges2323 bronze badges']"
0,2,63,Inexplicable behavior of a for-loop after a reduce in Javascript function,"Problem: For-loop inside of a function is returning an inexplicable result (1st picture, highlighted in yellow on line 150) Same for-loop copy-pasted outside of the function returns the expected ...",javascript algorithm for-loop recursion reduce,"['Jae Ryu', '111 bronze badge']"
0,0,15,Get [object Object] instead of real new element on the current markup,"I'm totally newbie...trying to make a study project. Have a page with 6 initialed cards. Card consist of picture and text, under this picture. Have a button, using for add new card. Trying to use OOP, ...",javascript,"['Mitkermit', '1']"
0,1answer,12,"read private.key with fs.readFileSync, nvalid left-hand side expression in prefix operation",Hi i try to read my private key with fs.readFileSync but always get this error: -----BEGIN RSA PRIVATE KEY----- ^^^^^^ SyntaxError: Invalid left-hand side expression in prefix operation and i don't ...,javascript fs,"['justabithope', '133 bronze badges']"
0,2,45,How to Loop Through Rows of Checkboxes in an HTML Table in Javascript,I have a question about how to loop through checkboxes in a table. What I want to do is create two checkboxes per row in a table along with a pulldown menu. I will run a conditional in javascript ...,javascript html jquery checkbox,"['Dataman', '1155 bronze badges']"
0,1answer,17,Format of Data is incorrect when fetching and receiving it from firebase in react native app,I am trying to fetch my orders data which is stored in firebase in the correct format but when I am trying to see in console.log() then it shows incorrect format of data. This is the data I am ...,javascript react-native firebase-realtime-database react-redux fetch,"['Harsh Mishra', '5511 silver badge55 bronze badges']"
"1
vote",5,56,JavaScript - sort to do list by date then status,I have a to do list that I need to sort by dueDate and by status (incomplete => complete). The incomplete tasks should be in ASC order by dueDate. Then the completed tasks should come after ...,javascript,"['JohnJones357', '3544 bronze badges']"
0,0,21,'MyVariable is declared but its value is never read ' When i using module type in javascript,import {MyVariable} from './core.js' console.log(MyVariable()) //message Error returned when I hovered: MyVariable is declared but its value is never read I open it on live server and it sends me a ...,javascript,"['VanDai', '1']"
0,1answer,22,Chrome Back button is not preserving the url history when using Ajax for pagination,pls help me out. i recent used ajax for my laravel pagination. Whenever i click he back button. it does not go back to the page i am coming from. it goes back to page 1. let me Illustrate this clearly....,javascript jquery ajax laravel,"['princewill opah', '311 bronze badge']"
0,2,31,Why do i get “Must provide query string” on fetch API but not on cURL or Postman?,"I am trying to use the graphbrainz library on a React app with fetch API, but however I format my request body, this error shows: BadRequestError: Must provide query string. at graphqlMiddleware (...",javascript node.js reactjs graphql fetch-api,"['minus.273', '6781212 silver badges2222 bronze badges']"
0,1answer,12,Uncaught TypeError: **now.toUTCString** is not a function at HTMLButtonElement,When I add no time zone the JS runs fine but as I am trying to echo Barbados time zone and I get the error below relating to now.toUTCString. How do I fix this? Uncaught TypeError: now.toUTCString is ...,javascript node.js timezone,"['kevind', '11599 bronze badges']"
-1,0,16,"In React, how do I allow users to crop their images after they upload it? [closed]","After the user browse a photo, it will be presented to them on the screen. How do I then allow them to crop that image?",javascript html css reactjs frontend,"['free_lions_n_tigers_from_cages', '1,62322 gold badges88 silver badges1919 bronze badges']"
0,1answer,23,Textarea returns empty value,"I have a form which takes three values Roomname, Experience and Rating. This data is then submitted to a database. The issue I'm facing is through my Roomname and Rating is getting submitted perfectly,...",javascript php html jquery,"['Kabir Jhangiani', '111 bronze badge']"
"1
vote",1answer,27,Is it possible to get highlighted html content from user?,"When I use onClick in reactjs I get the whole property like Lorem Ipsum is simply dummy text. But I need only the only highlighted content such as ""is simply dummy"". How it is possible?",javascript html reactjs onclick dom-events,"['MH Shuvo', '1322 bronze badges']"
-1,0,15,How to Remember a system or browser? [closed],I am trying to create a poll website but I don't want it to be mandatory to sign in/ register as a user to poll but don't want the user to abuse that feature... I thought of browser local storage but ...,javascript firebase next.js,"['Rahul Sharma', '42111 gold badge44 silver badges1111 bronze badges']"
-1,1answer,26,How to disable script to link to external sites,I have the following script running to provide weather forecast for my tablets. The problem is that every time someone touch it by accident it opens the source page. Any ideas how could I just block ...,javascript html jquery google-sites-2016,"['RafaNHS', '911 bronze badge']"
0,0,7,Algolia and Firebase incorrect nbPages returned,I'm creating a search feature in a react + firebase app with a 3rd party Algolia search engine. I need the nbPages to implement pagination. I have set up Algolia Index but nbPages that gets returned ...,javascript reactjs firebase algolia,"['Min', '17822 silver badges1818 bronze badges']"
-3,0,25,JSON Fetching problems [closed],1st problem: This code fetches data of every member into HTML.I want to sort the code by x.guild.members[0].rank in order:- Novice- Senior- Graduate- Chief- Professor 2nd problem: This chunk of code ...,javascript html json fetch script,"['JSanchoG', '122 bronze badges']"
0,0,8,treeview directory get path by javascript,"I have a structure that is created dynamically by PHP <ul class=""mainFolder""> <li class=""subFolder""><span id=""LKKADSO"" onclick=""hideFolder(this.id)&...",javascript php html web treeview,"['Wtow', '122 bronze badges']"
-2,1answer,56,Ternary operator for two conditions,"I wrote the basic javascript which take year and check conditions whether it is leap year or not how can I make ternary operator like that gYear=prompt(""enter the year""); let abc = (yr) =>...",javascript,"['sumit', '2711 bronze badge']"
"1
vote",0,16,Get State from mobx store react js,I am just learning React JS. I want to get a value that is stored in mobx state in my application. But not getting any idea how to get mobx state in functional component. const user_id = observer(({ ...,javascript reactjs react-hooks mobx mobx-react,"['Haren Sarma', '1,58133 gold badges2525 silver badges4848 bronze badges']"
"1
vote",1answer,23,colored point cloud (.ply) does not display in three.js,"I'm trying to load a colored point cloud in three.js with a ply loader. I follow this example but it's different from my use case. I`m using point cloud not mesh. So, this is what I want to load. You ...",javascript three.js point-clouds ply-file-format,"['badcode', '44311 gold badge22 silver badges1919 bronze badges']"
0,1answer,8,passport local strategy simple access to two directories via static fail,"app.use(express.static(__dirname + '/login')); app.use('/public', passport.authenticate('local', { failureRedirect: '/nop.html' })); app.use(express.static(__dirname + '/public')); app.post('/login', ...",javascript express passport-local,"['Leslie Optional', '1381010 bronze badges']"
0,1answer,22,"In Javascript, how can I throw an error if an environmental variable is missing?","In Javascript, I can access an environment variable like so: pizza = process.env.PIZZA Is there a simple syntax for throwing an error if that envar is missing/null/undefined? Something akin to Bash ?:...",javascript null environment-variables,"['Sasgorilla', '1,36711 gold badge1414 silver badges3434 bronze badges']"
"1
vote",1answer,22,Iframe reloads on hover to other componets eg: tooltip,"I have used iframe tag to load one of the url, but iframe data reloads every time when i hover to any other component, eg: tooltip, or open any dropdown. It totally refresh the iframe. HTML Code: <...",javascript html angular typescript iframe,"['Abhishek Chudekar', '47066 silver badges1616 bronze badges']"
0,4,35,Javascript wait until element loaded on website using chrome extensiion,"I'm developing a chrome extension that clicks elements on a website, but some of this elements appears later and the code doesn't work, so i need to make the function wait until the selected element ...",javascript html,"['Denny Vidotto', '2333 bronze badges']"
"1
vote",2,52,"How can I swap an image with another, after it has been clicked?","Some background of what I am trying to do: I am making a page where there are 4 icons/imgs at the top and when each icon is clicked, certain content is displayed under it. The user can click on any of ...",javascript html css,"['AAP', '1111 bronze badge']"
0,0,9,particles.js restart or run multiple instances?,"Can anyone figure out how to run this function multiple times or restart it somehow? Because it only to seems to run once before throwing an error that ""pJS is not a function"" when I try to ...",javascript jquery particles.js,"['Vadim Cool', '941010 bronze badges']"
"1
vote",0,9,The Line charts disappears on zooming in/out even though the data points are present in the chart,"I created a time series line chart using the echarts, it works fine when zoomed out completely, but when I start to zoom in, the lines disappear at certain places. I could see the data is getting ...",javascript echarts,"['Shishir Anshuman', '1,03877 silver badges2020 bronze badges']"
-1,0,16,JS behavior: 'smooth' with dynamic y scrolls to wrong position,"using smooth scroll with javascript as const pos = 1300; window.scrollTo({ top: pos, behavior: 'smooth' }); with dynamic y position will scroll too faraway as expected. Commenting out //...",javascript scroll smooth-scrolling,"['fefe', '7,6152121 gold badges8585 silver badges158158 bronze badges']"
